emotion,lyrics
happy," It’s late Time for bed So I sit and I wait For that gin and tonic To go to your head   I know It’s a devious plan But it’s the only way that I know To get those big bad car keys Out of your hand   You know That I remain a gentleman But even so There’s only so much A gentleman can stand Sleep with me Oh Sleep with me, tonight   My cards are on your table My dreams are in your bed Oh, if I was able I’d be there instead   Oh, oh Oh, sleep with me tonight"
angry,"Baby : Gimme a B Gimme a A Gimme a B Gimme a Y  What's that spell? What's that spell? What's that spell?  Cheerleader: Baby  Earl had a baby Baby was her name He knew she was crazy Tiny was the same Down behind the shed Slaughtering the hog Slice it on the belly Feed it to the dog  One, two, three, who should I kill? Every motherfucker running up the hill One, two, three, what should I do? Get fucked up and fuck up you  Pussy liquor Make ya sicker Pussy liquor Do it quicker  Baby: Yeah, I like to get fucked up, fucked up Goober: Yeah, I like to get fucked up too Baby: Yeah, I bet you do Baby: Yeah, I like to get fucked up, fucked up Goober: Yeah, I like to get fucked up too Baby: Yeah, I bet you do  Earl had a baby Otis was his name White as a ghost, totally insane Otis loves the girls Young and clean Drowning in a bucket of gasoline  One, two, three, who should I kill? Every motherfucker running up the hill One, two, three, what should I do? Get fucked up and fuck up you  Pussy liquor Make ya sicker Pussy liquor Do it quicker  Baby: Yeah, I like to get fucked up, fucked up Goober: Yeah, I like to get fucked up too Baby: Yeah, I bet you do Baby: Yeah, I like to get fucked up, fucked up Goober: Yeah, I like to get fucked up too Baby: Yeah, I bet you do  Don't you know something They won't tell Time on my mind Send them to a hell Burnin' in the house Spirits are alive A tongue lashing mama Help 'em to survive  One, two, three, who should I kill? Every motherfucker running up the hill One, two, three, what should I do? Get fucked up and fuck up you  Pussy liquor Make ya sicker Pussy liquor Do it quicker  Baby: Yeah, I like to get fucked up, fucked up Goober: Yeah, I like to get a blow job too Baby: Yeah, I bet you do"
sad,Black theatre of love Violet dancers cast their blood The moon gave me flowers For funerals to come 12 shapes bow before her I am still one of them 12 morbid ways to die Her beauty scares me I'm falling deeper No more pain to feel now Touch the silence Afraid of hell Black theatre of love Violet dancers drink my blood The moon gave me flowers For funerals to come I cannot breathe I am losing life The moon paints the skyline blue She died so beautiful
happy,"Would you like to swing on a star Carry moonbeams home in a jar And be better off than you are Or would you rather be a mule?  A mule is an animal with long funny ears He kicks up at anything he hears His back is brawny but his brain is weak He's just plain stupid with a stubborn streak And by the way, if you hate to go to school You may grow up to be a mule  Or would you like to swing on a star Carry moonbeams home in a jar And be better off than you are Or would you rather be a pig?  A pig is an animal with dirt on his face His shoes are a terrible disgrace He's got no manners when he eats his food He's fat and lazy and extremely rude But if you don't care a feather or a fig You may grow up to be a pig  Or would you like to swing on a star Carry moonbeams home in a jar And be better off than you are Or would you rather be a fish?  A fish won't do anything, but swim in a brook He can't write his name or read a book To fool the people is his only thought And though he's slippery, he still gets caught But then if that sort of life is what you wish You may grow up to be a fish  And all the monkeys aren't in the zoo Everyday you'll meet quite a few So you see it's all up to you You can be better than you are You could be swingin' on a star"
angry," And the sky was made of amethyst And all the stars were just like little fish You should learn when to go You should learn how to say ""no""   Might last a day, yeah Mine is forever Might last a day, yeah Mine is forever   When they get what they want And they never want it again When they get what they want And they never want it again   Go on, take everything Take everything, I want you to Go on, take everything Take everything, I want you to   And the sky was all violet I want it again, but violent, more violent Yeah, I'm the one with no soul One above and one below   Might last a day, yeah Mine is forever Might last a day, yeah Mine is forever   When they get what they want And they never want it again When they get what they want And they never want it again   Go on, take everything Take everything, I want you to Go on, take everything Take everything, I dare you to   Well, I told you from the start Just how this would end When I get what I want And I never want it again   Go on, take everything Take everything, I want you to Go on, take everything Take everything, I want you to   It's my lie You're mine, you're mine   Go on, take everything Take everything, I want you to Go on, take everything Take everything, I want you to Go on, take everything Take everything, I want you to Go on, take everything Take everything Take everything Take everything"
angry," Next Thursday you're invited to watch Rising Tide's live coverage of a gala tribute in salute to Ronald Reagan. Host Haley Barbour joins special guest Lady Margaret Thatcher in celebrating the former president's 83rd birthday. Tickets are 1000 Dollars a plate but you can see the event free on GOP TV.   Images of perfection, suntan and napalm Grenada, Haiti, Poland, Nicaragua Who shall we choose for our morality I'm thinking right now of Hollywood tragedy Big Mac, smack, Phoenix, R., please smile y'all Cuba, Mexico can't cauterise our discipline Your idols speak so much of the abyss Yet your morals only run as deep as the surface   Cool, groovy, morning, fine Tipper Gore was a friend of mine I love a free country The stars and stripes and an apple for mommy   (Conservatives say) ""There ain't no black in the Union Jack"" (Democrats say) ""There ain't enough white in the Stars and Stripes""   Compton, Harlem, a pimp fucked a priest The white man has just found a new moral saviour Vital stats, how white was their skin Unimportant, just another inner-city drive-by thing Morning, fine, serve your first coffee of the day Real privilege, it will take your problems away Number one, the best, no excuse from me I am here to serve the Moral Majority   Cool, groovy, morning, fine Tipper Gore was a friend of mine I love a free country The stars and stripes and an apple for mommy   Zapruder the first to masturbate The world's first taste of crucified grace (And we say) there's not enough black in the Union Jack (And we say) there's so much white in the Stars and Stripes   Fuck the Brady bill! Fuck the Brady bill! If God made man they say Sam Colt made him equal"
sad,"Maybe I'm the joker Maybe I'm the fool in your eyes Maybe I'm the weak one Maybe I'm a lie in disguise Maybe I'm angry 'Cause I'm the one who's always wrong But maybe I'm not the one who's so strong Did you think about it? Did you pull it in and pour it out? Could you live without me? Did you ever really have a doubt? But do you understand it, baby? When you say, “It's over”, it's done Maybe I'm not the one So if you're gonna leave Yeah, you better get goin' ‘Cause I ain't wastin' no more time On what you did and what you didn't do If you’re gonna leave Yeah, you better start runnin' ‘Cause I ain't wastin' no more time On what might've been We can stand on reason We can fight about all the things This isn't forever This is more than a wedding ring But do you understand it, baby? When you say, “It's over”, it's done Maybe I'm not the one So if you're gonna leave Yeah, you better get goin' ‘Cause I ain't wastin' no more time On what I did and what I didn't do If you're gonna leave Yeah, you better start runnin' ‘Cause I ain't wastin' no more time O-oh, did it happen again? With the things that you wanted For being a friend How did it happen again? Just look onward, baby ‘Cause someday you might need a friend (Friend) So if you're gonna leave Yeah, you better get goin' ‘Cause I ain't wastin' no more time On what we did and what we didn't do If you’re gonna leave Yeah, you better start runnin' ‘Cause I ain't wastin' no more time No, I ain't wastin' no more time On what might've been"
angry,"  Born from the dark in the black cloak of night To envelop its prey below, deliver to the light To eliminate your enemy, hit them in their sleep And when all is won and lost, the spoils of wars are yours to keep  Great nations built from the bones of the dead With mud and straw - blood and sweat You know your worth when your enemies Praise your architecture of aggression    Praise your architecture of aggression  Ensuing power vacuum, a toppled leader dies His body fuels the power fire and the flames rise to the sky One side of his face, a kiss - the other, genocide Time to pay with your ass, a worldwide suicide  Great nations built from the bones of the dead With mud and straw - blood and sweat You know your worth when your enemies Praise your architecture of aggression    Born from the dark in the black cloak of night To envelop its prey below, deliver to the light To eliminate your enemy, hit them in their sleep And when all is won and lost, the spoils of wars are yours to keep  Great nations built from the bones of the dead With mud and straw - blood and sweat You know your worth when your enemies Praise your architecture of aggression Great nations built from the bones of the dead With mud and straw - blood and sweat You know your worth when your enemies... Praise your architecture of aggression"
happy," Once I had a love and it was a gas Soon turned out had a heart of glass Seemed like the real thing, only to find Much o' mistrust, love's gone behind   Once I had a love and it was divine Soon found out I was losing my mind It seemed like the real thing but I was so blind Much o' mistrust, love's gone behind   In between, what I find is pleasing and I'm feeling fine Love is so confusing, there's no peace of mind If I fear I'm losing you, it's just no good You teasing like you do   Once I had a love and it was a gas Soon turned out had a heart of glass Seemed like the real thing, only to find Much o' mistrust, love's gone behind   Lost inside, adorable illusion and I cannot hide I'm the one you're using, please don't push me aside We could've made it cruising   Riding high on love's true bluish light   Once I had a love and it was a gas Soon turned out to be a pain in the ass Seemed like the real thing only to find Much o' mistrust, love's gone behind   In between, what I find is pleasing and I'm feeling fine Love is so confusing, there's no peace of mind If I fear I'm losing you, it's just no good You teasing like you do  "
relaxed," There’s a place that we can go At the end of a long slow day Streetlamps fuse the rising night I feel so far away   When you came back late, from the garden I couldn’t turn my eyes And I was dead   Outside in the crowded pines Ships are sailing though the wood Impossible   Leaving in the space between The Hovis homes, the railway heath Impossible   I can see my freedom but I need a little time Your hair wet and your arms full You were dead, you were alive   Looking in the heart of light Looking into the silence From those nights so frigid   They seemed hardly real Through the last light on the plain Roland to the dark tower came   Weialala leia Weialala leia Impossible Impossible Impossible"
