Index,Artist,Title,Mood4Q,Mood2Q
ML1,Usher,There Goes My Baby,relaxed,pos
ML2,Da'Ville,On My Mind,relaxed,pos
ML3,Rihanna,Rockstar 101 ,relaxed,pos
ML4,J. Holiday,Bed,relaxed,pos
ML5,Morgan Heritage,Don't Haffi Dread,angry,neg
ML6,Whitney Houston,My Love Is Your Love,happy,pos
ML7,Serani,Study People,angry,neg
ML8,Austra,Spellwork,angry,neg
ML9,Coro,Can't Let You Go,happy,pos
ML10,Beenie Man,Slam,relaxed,pos
ML11,Deitrick Haddon,Love Him Like I Do ,happy,pos
ML12,The Jackson 5,ABC,relaxed,pos
ML13,Maysa,The Lady In My Life,happy,pos
ML14,Ryan Shaw,We Got Love,happy,pos
ML15,The Paris Sisters,I Love How You Love Me,happy,pos
ML16,New Direction,I Came To Jesus,sad,neg
ML17,Kurt Carr & The Kurt Carr Singers,God Great God,happy,pos
ML18,Kenny Lattimore,And I Love Her,happy,pos
ML19,Jordin Sparks,Battlefield,angry,neg
ML20,Spoon,You Got Yr. Cherry Bomb,angry,neg
ML21,Tarralyn Ramsey,Peace Of God,relaxed,pos
ML22,Tyrese,One,relaxed,pos
ML23,Dr. Dog,Where'd All The Time Go?,sad,neg
ML24,Tarralyn Ramsey,Unconditional Love,happy,pos
ML25,Kool & The Gang,Steppin' Into Love,happy,pos
ML26,Anders Osborne,Darkness At The Bottom,sad,neg
ML27,The Rolling Stones,Gimme Shelter,angry,neg
ML28,The Rolling Stones,Happy,happy,pos
ML29,Bobby Bare,Detroit City,relaxed,pos
ML30,Gene Watson,Got No Reason Now For Goin' Home,relaxed,pos
ML31,George Strait,El Rey,sad,neg
ML32,Playing For Change,Don't Worry,relaxed,pos
ML33,The Rolling Stones,Melody,relaxed,pos
ML34,Stars,Fixed,sad,neg
ML35,Glasser,Home,relaxed,pos
ML36,Betty Wright,Where Is The Love,happy,pos
ML37,Mavis Staples,You Are Not Alone,angry,neg
ML38,The Rolling Stones,Not Fade Away,happy,pos
ML39,The Beach Boys,God Only Knows,happy,pos
ML40,Korn,Blind,sad,neg
ML41,Megadeth,Angry Again,angry,neg
ML42,Ra,Do You Call My Name,angry,neg
ML43,Avenged Sevenfold,Nightmare,angry,neg
ML44,Mudvayne,Scream With Me,angry,neg
ML45,Static-X,Dirthouse,sad,neg
ML46,Metallica,Cyanide,sad,neg
ML47,Green Day,Longview,sad,neg
ML48,Nirvana,Rape Me,angry,neg
ML49,Marilyn Manson,Sweet Dreams ,angry,neg
ML50,Staind,Mudshovel,angry,neg
ML51,Pantera,This Love,happy,pos
ML52,Chevelle,Send The Pain Below,angry,neg
ML53,The Red Hot Chili Peppers,Scar Tissue,sad,neg
ML54,Metallica,Harvester Of Sorrow,angry,neg
ML55,Guns N' Roses,Civil War,angry,neg
ML56,Shadows Fall,King Of Nothing,angry,neg
ML57,Comeback Kid,Do Yourself A Favor,sad,neg
ML58,Rob Zombie,Superbeast,sad,neg
ML59,Pearl Jam,Why Go,relaxed,pos
ML60,Scorpions,Rock You Like A Hurricane,angry,neg
ML61,Nine Inch Nails,Terrible Lie,angry,neg
ML62,Stone Temple Pilots,Wicked Garden,angry,neg
ML63,Smashing Pumpkins,Bullet With Butterfly Wings,angry,neg
ML64,Nirvana,Come As You Are,angry,neg
ML65,Black Sabbath,War Pigs,angry,neg
ML66,Korn,Everything I've Known,angry,neg
ML67,Disturbed,Indestructible,angry,neg
ML68,Three Days Grace,Riot,angry,neg
ML69,Dierks Bentley,Free And Easy ,relaxed,pos
ML70,Kenny Chesney,When The Sun Goes Down ,relaxed,pos
ML71,Zac Brown Band,Free,relaxed,pos
ML72,Frankie Ballard,Tell Me You Get Lonely,sad,neg
ML73,Faith Hill,The Way You Love Me,happy,pos
ML74,Blake Shelton,Home,relaxed,pos
ML75,Josh Turner,Your Man,relaxed,pos
ML76,Alice Cooper,Welcome To My Nightmare,angry,neg
ML77,Led Zeppelin,Rock And Roll,sad,neg
ML78,Joan Jett & The Blackhearts,I Hate Myself For Loving You,angry,neg
ML79,Jonny Lang,Lie To Me,angry,neg
ML80,The Doors,Love Her Madly,happy,pos
ML81,Eric Clapton,Cocaine,angry,neg
ML82,Robert Cray,Smoking Gun,angry,neg
ML83,Jefferson Airplane,Somebody To Love,happy,pos
ML84,Supertramp,Bloody Well Right,angry,neg
ML85,Ted Nugent,Cat Scratch Fever,sad,neg
ML86,Alice Cooper,No More Mr. Nice Guy,sad,neg
ML87,Neil Young,Heart Of Gold,happy,pos
ML88,Boston,Let Me Take You Home Tonight,relaxed,pos
ML89,Scorpions,Still Loving You,happy,pos
ML90,The Doors,Light My Fire,angry,neg
ML91,Night Ranger,Don't Tell Me You Love Me,happy,pos
ML92,Lynyrd Skynyrd,That Smell,sad,neg
ML93,Pat Benatar,Hit Me With Your Best Shot,angry,neg
ML94,Guns N' Roses,Paradise City,relaxed,pos
ML95,Yes,I've Seen All Good People,relaxed,pos
ML96,Motley Crue,Home Sweet Home,relaxed,pos
ML97,Lynyrd Skynyrd,You Got That Right,angry,neg
ML98,Bad Company,Feel Like Makin' Love,happy,pos
ML99,Jethro Tull,Locomotive Breath,sad,neg
ML100,Bad Company,Can't Get Enough,happy,pos
ML101,The Who,Love Reign O'er Me,relaxed,pos
ML102,Billy Squier,In The Dark,sad,neg
ML103,Pink Floyd,One Of These Days,sad,neg
ML104,Van Halen,Runnin' With The Devil,angry,neg
ML105,David Bowie,Fame,happy,pos
ML106,Three Plus,Undercover Lover,relaxed,pos
ML107,Three Plus,Honey Baby,relaxed,pos
ML108,Three Plus,Two Person Party,relaxed,pos
ML109,Bob Marley & The Wailers,Easy Skanking,relaxed,pos
ML110,Gregory Isaacs,Private Beach Party,happy,pos
ML111,Fiji,Anything You Want,relaxed,pos
ML112,Ooklah The Moc,Hell Fire,angry,neg
ML113,Shaggy,Angel ,relaxed,pos
ML114,Sean Paul,I'm Still In Love With You ,happy,pos
ML115,The Beach Boys,Good Vibrations,relaxed,pos
ML116,Orleans,Still The One,happy,pos
ML117,The Babys,Every Time I Think Of You,happy,pos
ML118,R.E.M.,The One I Love,angry,neg
ML119,The Cure,Lovesong,happy,pos
ML120,Annie Lennox,Walking On Broken Glass,sad,neg
ML121,Soft Cell,Tainted Love,happy,pos
ML122,Lenny Kravitz,Again,happy,pos
ML123,Cyndi Lauper,Time After Time,sad,neg
ML124,Falco,Rock Me Amadeus,angry,neg
ML125,The Fixx,Saved By Zero,happy,pos
ML126,Gino Vannelli,Living Inside Myself,angry,neg
ML127,Aretha Franklin,Respect,relaxed,pos
ML128,Melissa Etheridge,I'm The Only One,angry,neg
ML129,Fleetwood Mac,Go Your Own Way,sad,neg
ML130,Andy Kim,Rock Me Gently,relaxed,pos
ML131,The Bee Gees,Lonely Days,sad,neg
ML132,Rod Stewart,Passion,happy,pos
ML133,U2,Pride ,happy,pos
ML134,Janet Jackson,Nasty,sad,neg
ML135,Howard Jones,What Is Love?,happy,pos
ML136,Sheryl Crow,A Change Would Do You Good,relaxed,pos
ML137,The Thompson Twins,King For A Day,happy,pos
ML138,.38 Special,Second Chance,happy,pos
ML139,Depeche Mode,Strangelove,angry,neg
ML140,Kajagoogoo,Too Shy,sad,neg
ML141,The Flying Lizards,Money ,happy,pos
ML142,Kenny Loggins,Danger Zone,angry,neg
ML143,Eddie Money,Think I'm In Love,happy,pos
ML144,Donna Summer,Bad Girls,sad,neg
ML145,John Cougar Mellencamp,Authority Song,angry,neg
ML146,Aerosmith,Janie's Got A Gun,angry,neg
ML147,The Motels,Only The Lonely,sad,neg
